Cluster Number,Sequence Count
1,93
2,208
3,163
4,69
5,117
6,20
7,70
8,618
9,193
10,1813
11,131
12,70
13,259
14,69
15,15670
16,15
17,75
18,104
19,229
20,198
21,269
22,9
23,146
24,87
25,1
26,96
27,72
28,122
29,270
30,349
31,35
32,84
33,114
34,738
35,76
36,647
37,11
38,170
39,43
40,90
41,2689
42,25
43,6
44,106
45,146
46,69
47,15
48,59
49,4
50,79
51,222
52,6
53,343
54,96
55,204
56,203
57,14
58,1456
59,65
60,448
61,2297
62,108
63,413
64,321
65,59
66,244
67,24
68,144
69,1451
70,161
71,148
72,512
73,98
74,86
75,352
76,2360
77,169
78,5
79,102
80,2
81,1286
82,126
83,78
84,164
85,1083
86,4
87,72
88,1708
89,2
90,128
91,236
92,1243
93,6
94,58
95,49
96,42
97,64
98,1064
99,101
100,410
101,77
102,2430
103,17
104,3
105,8
106,218
107,104
108,9
109,386
110,562
111,2452
112,123
113,150
114,3
115,2
116,224
117,23
118,551
119,356
120,2301
121,167
122,246
123,23
124,39
125,390
126,351
127,232
128,97
129,266
130,10
131,76
132,215
133,100
134,265
135,772
136,3160
137,25
138,103
139,278
140,20
141,139
142,7
143,130
144,97
145,208
146,130
147,160
148,88
149,1935
150,140
151,96
152,398
153,268
154,89
155,101
156,117
157,268
158,97
159,86
160,31
161,136
162,117
163,378
164,162
165,108
166,45
167,206
168,171
169,572
170,116
171,255
172,4
173,231
174,117
175,40
176,375
177,4
178,2053
179,188
180,17
181,116
182,970
183,191
184,149
185,221
186,92
187,21
188,11
189,1573
190,567
191,4
192,18
193,2
194,128
195,216
196,60
197,92
198,572
199,139
200,336
201,52
202,77
203,7
204,319
205,498
206,222
207,460
208,1272
209,416
210,1
211,46
212,107
213,385
214,3
215,366
216,33
217,16
218,241
219,1
220,13
221,190
222,5
223,145
224,100
225,101
226,5
227,385
228,1139
229,61
230,47
231,138
232,5022
233,16
234,397
235,18
236,254
237,194
238,321
239,216
240,0
241,3
242,12
243,2
244,73
245,921
246,11
247,12
248,197
249,7779
250,44
251,1
252,6
253,311
254,1
255,21
256,946
257,1752
258,171
259,54
260,121
261,0
262,83
263,20
264,126
265,307
266,7604
267,1050
268,609
269,202
270,421
271,274
272,364
273,7
274,188
275,97
276,2
277,109
278,116
279,115
280,203
281,23
282,536
283,21
284,1
285,117
286,41
287,166
288,9
289,79
290,22
291,2363
292,185
293,80
294,254
295,170
296,917
297,414
298,12
299,313
300,37
301,3
302,63
303,215
304,49
305,458
306,80
307,115
308,72
309,1
310,1
311,1246
312,14
313,79
314,8
315,0
316,1764
317,19
318,207
319,3
320,583
321,67
322,348
323,2
324,256
325,1698
326,70
327,790
328,181
329,2617
330,1921
331,773
332,6149
333,31
334,12
335,74
336,2
337,3
338,23
339,586
340,240
341,498
342,62
343,20
344,35
345,375
346,18
347,25
348,114
349,154
350,120
351,95
352,154
353,551
354,101
355,7
356,338
357,3
358,0
359,56
360,5422
361,659
362,2699
363,331
364,45
365,2
366,3
367,0
368,119
369,3
370,70
371,430
372,45
373,48
374,90
375,483
376,0
377,214
378,626
379,0
380,134
381,24
382,0
383,150
384,527
385,142
386,61
387,21
388,290
389,130
390,23
391,268
392,372
393,5998
394,163
395,106
396,526
397,133
398,934
399,91
400,940
401,982
402,4
403,17
404,2
405,84
406,0
407,23
408,68
409,3
410,644
411,28
412,1630
413,5
414,226
415,752
416,19
417,199
418,138
419,92
420,4
421,184
422,414
423,140
424,808
425,102
426,268
427,140
428,1
429,0
430,134
431,185
432,356
433,3
434,181
435,97
436,53
437,463
438,161
439,67
440,253
441,68
442,147
443,47
444,0
445,1
446,394
447,439
448,139
449,5
450,482
451,28
452,10
453,2078
454,290
455,217
456,18
457,555
458,166
459,236
460,1553
461,0
462,50
463,233
464,2
465,30
466,601
467,5839
468,171
469,281
470,418
471,328
472,10
473,540
474,230
475,86
476,27
477,5
478,95
479,343
480,409
481,39
482,397
483,383
484,82
485,155
486,1
487,148
488,15
489,191
490,173
491,150
492,1377
493,2
494,5
495,246
496,119
497,1980
498,61
499,507
500,173
